query,hit_rank,corpus_id,source_file,unit_no,locator_type,sha1,fts_query
共工,17,GCI-HOLD-0003,02汉书.txt,6626,line,237718b038883b84ae7127892ce1eb4eace41373,"""共 工"""
共工,18,GCI-HOLD-0003,03后汉书.txt,2754,line,a1b9961351761bc5da36bfeddb5081cbe298043a,"""共 工"""
共工,19,GCI-HOLD-0003,03后汉书.txt,4266,line,85a4e88d728ff4df93f08d70c75463ed223c1a7d,"""共 工"""
共工,20,GCI-HOLD-0003,03后汉书.txt,4507,line,4edfcbf5569b398fe6c4df2951bf00bbe4965af8,"""共 工"""
共工,21,GCI-HOLD-0003,03后汉书.txt,7051,line,e34602fc3bdde46882df7fe7adb06e206870d64c,"""共 工"""
共工,22,GCI-HOLD-0003,04三国志.txt,1608,line,a7078aded01111a0895103b43c5843b1a47a4432,"""共 工"""
共工,23,GCI-HOLD-0003,05晋书.txt,411,line,feae3f6dd4a0a12ed1052e2564649e83af69f616,"""共 工"""
共工,24,GCI-HOLD-0003,05晋书.txt,6389,line,5ea11db72fbf21b4a76c426ed730030ad3af6805,"""共 工"""
共工,25,GCI-HOLD-0003,05晋书.txt,6394,line,facd4e2683b061b06b7c4a6491134d04436c04c4,"""共 工"""
帝鸿,1,GCI-HOLD-0003,01史记.txt,25,line,f7d4890d7b9abaa812103603f70f9a34539d24ba,"""帝 鸿"""
帝鸿,2,GCI-HOLD-0003,02汉书.txt,1239,line,8855085a441d40f4fb582f341998d2aa61a868ab,"""帝 鸿"""
帝鸿,3,GCI-HOLD-0003,02汉书.txt,1639,line,0a635720de4d4d943eea85cce86f57934f13b42d,"""帝 鸿"""
帝鸿,4,GCI-HOLD-0003,02汉书.txt,2084,line,583937104cbc19db1b1b844bd39a497c8a6021b3,"""帝 鸿"""
帝鸿,5,GCI-HOLD-0003,02汉书.txt,2124,line,6ec6d8e6fcf323c04641d1dba976edd784302cb5,"""帝 鸿"""
帝鸿,6,GCI-HOLD-0003,02汉书.txt,2251,line,41f563a094f793fc8c8381fa66b67ff52f5efe8c,"""帝 鸿"""
帝鸿,7,GCI-HOLD-0003,02汉书.txt,2525,line,1eb8e0d6d917c6c4dedc62a280cb2ca741c014be,"""帝 鸿"""
帝鸿,8,GCI-HOLD-0003,02汉书.txt,4309,line,ca23ac746db1707891cc2f9cdf6918d4f1ce2d03,"""帝 鸿"""
帝鸿,9,GCI-HOLD-0003,05晋书.txt,7551,line,2203c4f53a31e01ccb3958d9beedbf2844337778,"""帝 鸿"""
帝鸿,10,GCI-HOLD-0003,06宋书.txt,2106,line,b87be17d026c5bff03b189ee0e644010cc1828eb,"""帝 鸿"""
帝鸿,11,GCI-HOLD-0003,18旧五代史.txt,2974,line,5800247ecd8449e78f6fcac9dfb4843bb044d98d,"""帝 鸿"""
帝鸿,12,GCI-HOLD-0003,20宋史.txt,43945,line,ebc12290b8259d723554fcd46481cd6b7c5336ca,"""帝 鸿"""
少昊,1,GCI-HOLD-0003,01史记.txt,1510,line,c7465bce54bbe8a54111bced941b0cb43322e2f7,"""少 昊"""
少昊,2,GCI-HOLD-0003,02汉书.txt,1220,line,c891a1cdc1d59c70a249ae2e1ee40ebf48827440,"""少 昊"""
少昊,3,GCI-HOLD-0003,02汉书.txt,1476,line,06421b84de18d0f6ece5f02d8ab7518dc96ae24f,"""少 昊"""
少昊,4,GCI-HOLD-0003,02汉书.txt,1480,line,38bb151f7f1579901bc0431f68f50e77e9fbd4f6,"""少 昊"""
少昊,5,GCI-HOLD-0003,02汉书.txt,1481,line,38dec55406f0bcfd5f70de467b7136c7e869185c,"""少 昊"""
少昊,6,GCI-HOLD-0003,02汉书.txt,1751,line,c6673a21c382d3e2a1c22a458e843648415a405c,"""少 昊"""
少昊,7,GCI-HOLD-0003,02汉书.txt,1756,line,fcaf695a01fe7a04acb011c1524120b482618e1d,"""少 昊"""
少昊,8,GCI-HOLD-0003,02汉书.txt,2522,line,3eb852925743cef878e1c5d4384137c24652b852,"""少 昊"""
少昊,9,GCI-HOLD-0003,02汉书.txt,2582,line,1a894268b3a52fb151a11f827d3c2d490b9b2ea6,"""少 昊"""
少昊,10,GCI-HOLD-0003,02汉书.txt,2630,line,f96673a20d7bc33e2bc3f113dfcafaf4309137bc,"""少 昊"""
少昊,11,GCI-HOLD-0003,02汉书.txt,2636,line,14c90f48987bf7204b261acf162faa8523eb5378,"""少 昊"""
少昊,12,GCI-HOLD-0003,02汉书.txt,5242,line,1aa1cfaeac5bb1b1cbed3e7d987a255e152497f1,"""少 昊"""
少昊,13,GCI-HOLD-0003,02汉书.txt,6629,line,7b8f9c6e8b195c0312b2c465258e8e2074381062,"""少 昊"""
少昊,14,GCI-HOLD-0003,03后汉书.txt,3302,line,0e15f13975d098f8969982dd730783ffad6b089e,"""少 昊"""
少昊,15,GCI-HOLD-0003,03后汉书.txt,6055,line,6143299d1a0edb176b618799d0c1953023d8fd97,"""少 昊"""
少昊,16,GCI-HOLD-0003,05晋书.txt,809,line,5b67887124d747827a984ea2012ca4148d332097,"""少 昊"""
少昊,17,GCI-HOLD-0003,05晋书.txt,1303,line,80addc1328e88a87d79e6b2f64c4a36cef5b21ec,"""少 昊"""
少昊,18,GCI-HOLD-0003,05晋书.txt,1645,line,69c33d8cb372bc76f0419a60d5dabba847d75edb,"""少 昊"""
少昊,19,GCI-HOLD-0003,05晋书.txt,1970,line,738426bda22bac8ecc3995c505eb814e0aae0dbc,"""少 昊"""
少昊,20,GCI-HOLD-0003,05晋书.txt,2379,line,3a470ac04691075991a59526e71564291cd2137c,"""少 昊"""
少昊,21,GCI-HOLD-0003,06宋书.txt,283,line,8ae185bc62f206ac2547e5a17e627d60778e7bea,"""少 昊"""
少昊,22,GCI-HOLD-0003,06宋书.txt,291,line,ce8db32719a44469ac2cdfbddee46f70e196ec53,"""少 昊"""
