序号,书名,时代,字符数,系统,词项,变体,独立Raw次数,最长优先次数,每百万字
08,梁书,魏晋南北朝,368183,娲—娃—蛙系统,娲,娲 / 媧,1,1,2.71604066456083
08,梁书,魏晋南北朝,368183,娲—娃—蛙系统,女娲,女娲 / 女媧,1,1,2.71604066456083
08,梁书,魏晋南北朝,368183,娲—娃—蛙系统,娃,娃,1,1,2.71604066456083
08,梁书,魏晋南北朝,368183,娲—娃—蛙系统,女娃,女娃,0,0,0.0
08,梁书,魏晋南北朝,368183,娲—娃—蛙系统,蛙,蛙,1,1,2.71604066456083
08,梁书,魏晋南北朝,368183,娲—娃—蛙系统,青蛙,青蛙,0,0,0.0
08,梁书,魏晋南北朝,368183,娲—娃—蛙系统,黾,黾 / 黽,1,1,2.71604066456083
08,梁书,魏晋南北朝,368183,娲—娃—蛙系统,精卫,精卫 / 精衛,0,0,0.0
08,梁书,魏晋南北朝,368183,鸟—凤—风系统,鸟,鸟 / 鳥,43,43,116.78974857611568
08,梁书,魏晋南北朝,368183,鸟—凤—风系统,凤,凤 / 鳳,29,29,78.76517927226406
08,梁书,魏晋南北朝,368183,鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,4,4,10.86416265824332
08,梁书,魏晋南北朝,368183,鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,1,1,2.71604066456083
08,梁书,魏晋南北朝,368183,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,17,17,46.17269129753411
08,梁书,魏晋南北朝,368183,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
08,梁书,魏晋南北朝,368183,鸟—凤—风系统,风,风 / 風,325,325,882.7132159822696
08,梁书,魏晋南北朝,368183,鸟—凤—风系统,皇,皇,267,267,725.1828574377415
09,陈书,魏晋南北朝,202689,蛇—ta系统,他,他,29,29,143.07633862715787
09,陈书,魏晋南北朝,202689,蛇—ta系统,她,她,0,0,0.0
09,陈书,魏晋南北朝,202689,蛇—ta系统,它,它,0,0,0.0
09,陈书,魏晋南北朝,202689,蛇—ta系统,蛇,蛇 / 虵,5,5,24.6683342460617
09,陈书,魏晋南北朝,202689,蛇—ta系统,也,也,456,456,2249.7520832408272
09,陈书,魏晋南北朝,202689,蛇—ta系统,佗,佗,1,1,4.93366684921234
09,陈书,魏晋南北朝,202689,蛇—ta系统,牠,牠,0,0,0.0
09,陈书,魏晋南北朝,202689,蛇—ta系统,姐姊,姐 / 姊,2,2,9.86733369842468
09,陈书,魏晋南北朝,202689,蛇—ta系统,巳,巳,63,63,310.82101150037744
09,陈书,魏晋南北朝,202689,蛇—ta系统,虺,虺,0,0,0.0
